 airport_code |     airport_name     |           city           |               coordinates               |      timezone      
 OSW          | Орск                 | Орск                     | (58.59560012817383,51.0724983215332)    | Asia/Yekaterinburg
 PEZ          | Пенза                | Пенза                    | (45.02109909057617,53.110599517822266)  | Europe/Moscow
 SKX          | Саранск              | Саранск                  | (45.212257385253906,54.12512969970703)  | Europe/Moscow
 TBW          | Донское              | Тамбов                   | (41.482799530029,52.806098937988)       | Europe/Moscow
 UKX          | Усть-Кут             | Усть-Кут                 | (105.7300033569336,56.8567008972168)    | Asia/Irkutsk
 GDZ          | Геленджик            | Геленджик                | (38.0124807358,44.5820926295)           | Europe/Moscow
 IAR          | Туношна              | Ярославль                | (40.15739822387695,57.560699462890625)  | Europe/Moscow
 NBC          | Бегишево             | Нижнекамск               | (52.092498779296875,55.564701080322266) | Europe/Moscow
 ULV          | Баратаевка           | Ульяновск                | (48.226699829100006,54.26829910279999)  | Europe/Samara
 SWT          | Стрежевой            | Стрежевой                | (77.66000366210001,60.709400177)        | Asia/Krasnoyarsk
 EYK          | Белоярский           | Белоярский               | (66.698600769,63.686901092499994)       | Asia/Yekaterinburg
 KLF          | Калуга               | Калуга                   | (36.3666687012,54.5499992371)           | Europe/Moscow
 RGK          | Горно-Алтайск        | Горно-Алтайск            | (85.8332977295,51.9667015076)           | Asia/Krasnoyarsk
 KRR          | Краснодар            | Краснодар                | (39.170501708984,45.034698486328)       | Europe/Moscow
 MCX          | Уйташ                | Махачкала                | (47.65230178833008,42.81679916381836)   | Europe/Moscow
 KZN          | Казань               | Казань                   | (49.278701782227,55.606201171875)       | Europe/Moscow
 REN          | Оренбург-Центральный | Оренбург                 | (55.45669937133789,51.795799255371094)  | Asia/Yekaterinburg
 UFA          | Уфа                  | Уфа                      | (55.874401092529,54.557498931885)       | Asia/Yekaterinburg
 OVB          | Толмачёво            | Новосибирск              | (82.650703430176,55.012599945068)       | Asia/Novosibirsk
 CEE          | Череповец            | Череповец                | (38.015800476100004,59.273601532)       | Europe/Moscow
 OMS          | Омск-Центральный     | Омск                     | (73.31050109863281,54.96699905395508)   | Asia/Omsk
 ROV          | Ростов-на-Дону       | Ростов-на-Дону           | (39.8180999756,47.2582015991)           | Europe/Moscow
 AER          | Сочи                 | Сочи                     | (39.956600189209,43.449901580811)       | Europe/Moscow
 VOG          | Гумрак               | Волгоград                | (44.34550094604492,48.782501220703125)  | Europe/Volgograd
 BQS          | Игнатьево            | Благовещенск             | (127.41200256347656,50.42539978027344)  | Asia/Yakutsk
 GDX          | Магадан              | Магадан                  | (150.72000122070312,59.9109992980957)   | Asia/Magadan
 HTA          | Чита                 | Чита                     | (113.306,52.026299)                     | Asia/Chita
 BTK          | Братск               | Братск                   | (101.697998046875,56.370601654052734)   | Asia/Irkutsk
 IKT          | Иркутск              | Иркутск                  | (104.38899993896,52.268001556396)       | Asia/Irkutsk
 UUD          | Байкал               | Улан-Удэ                 | (107.43800354003906,51.80780029296875)  | Asia/Irkutsk
 MMK          | Мурманск             | Мурманск                 | (32.75080108642578,68.78170013427734)   | Europe/Moscow
 ABA          | Абакан               | Абакан                   | (91.38500213623047,53.7400016784668)    | Asia/Krasnoyarsk
 BAX          | Барнаул              | Барнаул                  | (83.53849792480469,53.363800048828125)  | Asia/Krasnoyarsk
 AAQ          | Витязево             | Анапа                    | (37.347301483154,45.002101898193)       | Europe/Moscow
 CNN          | Чульман              | Нерюнгри                 | (124.91400146484,56.913898468018)       | Asia/Yakutsk
(104 rows)

